x_LiConc, GrandPotential, u, -u
0.58500000, 4.75065793, -1.13750000, 1.13750000
0.58550000, 4.75065793, -1.13750000, 1.13750000
0.58600000, 4.75065793, -1.13750000, 1.13750000
0.58650000, 4.75065793, -1.13750000, 1.13750000
0.58700000, 4.75065793, -1.13750000, 1.13750000
0.58750000, 4.75065793, -1.13750000, 1.13750000
0.58800000, 4.75065793, -1.13750000, 1.13750000
0.58850000, 4.75065793, -1.13750000, 1.13750000
0.58900000, 4.75065793, -1.13750000, 1.13750000
0.58950000, 4.75065793, -1.13750000, 1.13750000
0.59000000, 4.75065793, -1.13750000, 1.13750000
0.59050000, 4.75065793, -1.13750000, 1.13750000
0.59100000, 4.75065793, -1.13750000, 1.13750000
0.59150000, 4.75065793, -1.13750000, 1.13750000
0.59200000, 4.75065793, -1.13750000, 1.13750000
0.59250000, 4.75065793, -1.13750000, 1.13750000
0.59300000, 4.75065793, -1.13750000, 1.13750000
0.59350000, 4.75065793, -1.13750000, 1.13750000
0.59400000, 4.75065793, -1.13750000, 1.13750000
0.59450000, 4.75065793, -1.13750000, 1.13750000
0.59500000, 4.75065793, -1.13750000, 1.13750000
0.59550000, 4.75065793, -1.13750000, 1.13750000
0.59600000, 4.75065793, -1.13750000, 1.13750000
0.59650000, 4.75065793, -1.13750000, 1.13750000
0.59700000, 4.75065793, -1.13750000, 1.13750000
0.59750000, 4.75065793, -1.13750000, 1.13750000
0.59800000, 4.75065793, -1.13750000, 1.13750000
0.59850000, 4.75065793, -1.13750000, 1.13750000
0.59900000, 4.75065793, -1.13750000, 1.13750000
0.59950000, 4.75065793, -1.13750000, 1.13750000
0.60000000, 4.75065793, -1.13750000, 1.13750000
0.60050000, 4.75065793, -1.13750000, 1.13750000
0.60100000, 4.75065793, -1.13750000, 1.13750000
0.60150000, 4.75065793, -1.13750000, 1.13750000
0.60200000, 4.75065793, -1.13750000, 1.13750000
0.60250000, 4.74915415, -1.13500000, 1.13500000
0.60300000, 4.74915415, -1.13500000, 1.13500000
0.60350000, 4.74915415, -1.13500000, 1.13500000
0.60400000, 4.74915415, -1.13500000, 1.13500000
0.60450000, 4.74915415, -1.13500000, 1.13500000
0.60500000, 4.74915415, -1.13500000, 1.13500000
0.60550000, 4.74915415, -1.13500000, 1.13500000
0.60600000, 4.74915415, -1.13500000, 1.13500000
0.60650000, 4.74915415, -1.13500000, 1.13500000
0.60700000, 4.74915415, -1.13500000, 1.13500000
0.60750000, 4.74915415, -1.13500000, 1.13500000
0.60800000, 4.74915415, -1.13500000, 1.13500000
0.60850000, 4.74915415, -1.13500000, 1.13500000
0.60900000, 4.74915415, -1.13500000, 1.13500000
0.60950000, 4.74915415, -1.13500000, 1.13500000
0.61000000, 4.74915415, -1.13500000, 1.13500000
0.61050000, 4.74915415, -1.13500000, 1.13500000
0.61100000, 4.74915415, -1.13500000, 1.13500000
0.61150000, 4.74915415, -1.13500000, 1.13500000
0.61200000, 4.74915415, -1.13500000, 1.13500000
0.61250000, 4.74915415, -1.13500000, 1.13500000
0.61300000, 4.74915415, -1.13500000, 1.13500000
0.61350000, 4.74915415, -1.13500000, 1.13500000
0.61400000, 4.74915415, -1.13500000, 1.13500000
0.61450000, 4.74915415, -1.13500000, 1.13500000
0.61500000, 4.74915415, -1.13500000, 1.13500000
0.61550000, 4.74915415, -1.13500000, 1.13500000
0.61600000, 4.74915415, -1.13500000, 1.13500000
0.61650000, 4.74915415, -1.13500000, 1.13500000
0.61700000, 4.74915415, -1.13500000, 1.13500000
0.61750000, 4.74915415, -1.13500000, 1.13500000
0.61800000, 4.74915415, -1.13500000, 1.13500000
0.61850000, 4.74915415, -1.13500000, 1.13500000
0.61900000, 4.74915415, -1.13500000, 1.13500000
0.61950000, 4.74915415, -1.13500000, 1.13500000
0.62000000, 4.74915415, -1.13500000, 1.13500000
0.62050000, 4.74915415, -1.13500000, 1.13500000
0.62100000, 4.74915415, -1.13500000, 1.13500000
0.62150000, 4.74915415, -1.13500000, 1.13500000
0.62200000, 4.74915415, -1.13500000, 1.13500000
0.62250000, 4.74915415, -1.13500000, 1.13500000
0.62300000, 4.74915415, -1.13500000, 1.13500000
0.62350000, 4.74915415, -1.13500000, 1.13500000
0.62400000, 4.74915415, -1.13500000, 1.13500000
0.62450000, 4.74915415, -1.13500000, 1.13500000
0.62500000, 4.74915415, -1.13500000, 1.13500000
0.62550000, 4.74915415, -1.13500000, 1.13500000
0.62600000, 4.74915415, -1.13500000, 1.13500000
0.62650000, 4.74915415, -1.13500000, 1.13500000
0.62700000, 4.74915415, -1.13500000, 1.13500000
0.62750000, 4.74915415, -1.13500000, 1.13500000
0.62800000, 4.74915415, -1.13500000, 1.13500000
0.62850000, 4.74915415, -1.13500000, 1.13500000
0.62900000, 4.74915415, -1.13500000, 1.13500000
0.62950000, 4.74915415, -1.13500000, 1.13500000
0.63000000, 4.74915415, -1.13500000, 1.13500000
0.63050000, 4.74915415, -1.13500000, 1.13500000
0.63100000, 4.74915415, -1.13500000, 1.13500000
0.63150000, 4.74915415, -1.13500000, 1.13500000
0.63200000, 4.74915415, -1.13500000, 1.13500000
0.63250000, 4.74915415, -1.13500000, 1.13500000
0.63300000, 4.74757382, -1.13250000, 1.13250000
0.63350000, 4.74757382, -1.13250000, 1.13250000
0.63400000, 4.74757382, -1.13250000, 1.13250000
0.63450000, 4.74757382, -1.13250000, 1.13250000
0.63500000, 4.74757382, -1.13250000, 1.13250000
0.63550000, 4.74757382, -1.13250000, 1.13250000
0.63600000, 4.74757382, -1.13250000, 1.13250000
0.63650000, 4.74757382, -1.13250000, 1.13250000
0.63700000, 4.74757382, -1.13250000, 1.13250000
0.63750000, 4.74757382, -1.13250000, 1.13250000
0.63800000, 4.74757382, -1.13250000, 1.13250000
0.63850000, 4.74757382, -1.13250000, 1.13250000
0.63900000, 4.74757382, -1.13250000, 1.13250000
0.63950000, 4.74757382, -1.13250000, 1.13250000
0.64000000, 4.74757382, -1.13250000, 1.13250000
0.64050000, 4.74757382, -1.13250000, 1.13250000
0.64100000, 4.74757382, -1.13250000, 1.13250000
0.64150000, 4.74757382, -1.13250000, 1.13250000
0.64200000, 4.74757382, -1.13250000, 1.13250000
0.64250000, 4.74757382, -1.13250000, 1.13250000
0.64300000, 4.74757382, -1.13250000, 1.13250000
0.64350000, 4.74757382, -1.13250000, 1.13250000
0.64400000, 4.74757382, -1.13250000, 1.13250000
0.64450000, 4.74757382, -1.13250000, 1.13250000
0.64500000, 4.74757382, -1.13250000, 1.13250000
0.64550000, 4.74757382, -1.13250000, 1.13250000
0.64600000, 4.74757382, -1.13250000, 1.13250000
0.64650000, 4.74757382, -1.13250000, 1.13250000
0.64700000, 4.74757382, -1.13250000, 1.13250000
0.64750000, 4.74757382, -1.13250000, 1.13250000
0.64800000, 4.74757382, -1.13250000, 1.13250000
0.64850000, 4.74757382, -1.13250000, 1.13250000
0.64900000, 4.74757382, -1.13250000, 1.13250000
0.64950000, 4.74757382, -1.13250000, 1.13250000
0.65000000, 4.74757382, -1.13250000, 1.13250000
0.65050000, 4.74757382, -1.13250000, 1.13250000
0.65100000, 4.74757382, -1.13250000, 1.13250000
0.65150000, 4.74757382, -1.13250000, 1.13250000
0.65200000, 4.74757382, -1.13250000, 1.13250000
0.65250000, 4.74757382, -1.13250000, 1.13250000
